Date,Open,High,Low,Close,Volume
2018-03-23,1737.4,1758.65,1730.16,1736.44,3345967
2018-03-26,1732.1,1749.95,1723.87,1749.95,2648680
2018-03-27,1754.3,1793.43,1746.58,1793.43,4896955
2018-03-28,1772.67,1819.02,1770.24,1819.02,4119548
2018-03-29,1818.55,1831.11,1801.64,1815.65,3342551
2018-03-30,1830.63,1839.81,1821.45,1834.97,3153840
2018-04-02,1837.87,1846.57,1831.11,1832.55,1634320
2018-04-03,1826.77,1852.36,1820.0,1848.51,2445373
2018-04-04,1851.39,1874.1,1842.7,1865.9,3155601
2018-04-05,1879.9,1924.31,1877.96,1917.56,4456391
2018-04-06,1916.11,1932.06,1904.52,1920.96,3381267
2018-04-09,1924.31,1952.83,1924.31,1944.13,3135518
2018-04-10,1935.43,1951.37,1917.09,1931.56,2981900
2018-04-11,1922.86,1926.75,1858.15,1867.81,3379299
2018-04-12,1922.4,1957.66,1914.67,1943.64,6122491
2018-04-13,1950.42,1953.31,1899.22,1936.4,3669250
2018-04-16,1936.4,1969.25,1933.98,1965.38,3659312
2018-04-17,1958.14,1980.35,1955.73,1970.21,2669487
2018-04-18,1973.61,2005.95,1973.11,2002.09,3215744
2018-04-19,2002.09,2003.06,1977.95,1985.67,2570214
2018-04-20,1980.85,2013.2,1977.46,2006.44,2558413
2018-04-23,2005.0,2034.46,2002.09,2028.67,2486158
2018-04-24,2051.36,2055.22,2031.55,2052.34,2334715
2018-04-25,2051.84,2071.17,2050.39,2066.34,2100146
2018-04-26,2075.99,2090.97,2065.38,2087.59,2619590
2018-04-27,2100.15,2120.44,2100.15,2113.19,2704268
2018-05-01,2111.74,2125.26,2107.87,2120.44,2095384
2018-05-02,2120.44,2120.44,2067.78,2089.02,3052083
2018-05-07,2096.77,2114.65,2092.42,2102.08,2118364
2018-05-08,2096.77,2097.25,2082.76,2085.65,1753571
2018-05-09,2076.96,2080.34,2050.39,2054.26,2227575
2018-05-10,2047.98,2076.96,2044.12,2074.54,1704608
2018-05-11,2075.51,2079.86,2068.26,2078.9,1829656
2018-05-14,2093.37,2124.29,2086.14,2118.51,2333886
2018-05-15,2120.44,2124.29,2096.77,2103.04,1770134
2018-05-16,2109.8,2135.9,2098.22,2104.49,2736357
2018-05-17,2115.6,2116.09,2072.13,2073.59,2535950
2018-05-18,2082.76,2097.25,2072.13,2095.8,1912883
2018-05-21,2090.01,2098.71,2085.65,2089.51,1157212
2018-05-22,2086.61,2098.22,2075.04,2086.14,1422113
2018-05-23,2088.56,2100.15,2079.38,2091.46,2007705
2018-05-24,2094.36,2102.57,2081.79,2086.14,1832140
2018-05-25,2099.67,2101.13,2083.25,2099.18,1994557
2018-05-28,2099.18,2103.04,2092.42,2097.25,1107317
2018-05-29,2095.31,2108.36,2092.91,2107.87,1566000
2018-05-30,2091.92,2099.67,2075.04,2080.83,2211839
2018-05-31,2088.56,2095.31,2080.83,2085.65,2903227
2018-06-01,2079.86,2100.63,2077.45,2087.11,1640738
2018-06-04,2104.01,2132.5,2100.63,2132.03,2312871
2018-06-05,2142.65,2149.89,2132.99,2143.62,1858330
2018-06-06,2147.96,2169.7,2140.24,2168.25,1977064
2018-06-07,2188.05,2204.48,2184.68,2193.36,2685738
2018-06-08,2202.54,2276.92,2199.65,2271.13,5877155
2018-06-11,2277.9,2323.78,2277.9,2321.37,3684259
2018-06-12,2340.68,2360.01,2293.35,2351.31,4278341
2018-06-13,2352.28,2370.64,2334.89,2340.68,2852607
2018-06-14,2335.86,2335.86,2295.76,2296.25,2657064
2018-06-15,2318.48,2339.23,2314.6,2328.61,3237378
2018-06-18,2329.1,2336.34,2320.88,2333.44,1507201
2018-06-19,2330.55,2337.31,2282.73,2282.73,2958920
2018-06-20,2278.86,2311.72,2277.41,2299.64,2541954
2018-06-21,2317.99,2331.03,2290.45,2309.78,2330676
2018-06-22,2305.9,2317.03,2285.62,2288.51,2612138
2018-06-25,2313.64,2327.64,2288.51,2291.9,2084928
2018-06-26,2286.59,2293.35,2263.89,2269.68,2454378
2018-06-27,2279.83,2338.27,2270.64,2336.84,3823283
2018-06-28,2332.97,2332.97,2283.68,2300.61,3280855
2018-06-29,2308.81,2309.78,2272.59,2289.49,2508208
2018-07-02,2269.19,2269.19,2159.08,2159.56,4558355
2018-07-03,2177.91,2201.09,2127.69,2154.23,3741091
2018-07-04,2139.26,2195.3,2134.92,2185.64,2448376
2018-07-05,2201.09,2230.55,2170.19,2178.39,3721837
2018-07-06,2181.29,2202.54,2152.32,2154.23,2716483
2018-07-09,2156.66,2181.29,2152.32,2161.01,1728935
2018-07-10,2177.91,2180.34,2147.0,2147.0,2321878
2018-07-11,2130.57,2136.85,2104.01,2107.87,2876623
2018-07-12,2115.12,2143.62,2110.3,2131.55,2177886
2018-07-13,2135.9,2144.57,2120.44,2129.13,2174574
2018-07-17,2167.29,2180.81,2139.26,2173.56,2281609
2018-07-18,2202.54,2206.43,2155.22,2160.52,1900979
2018-07-19,2164.87,2165.36,2135.4,2138.3,1843528
2018-07-20,2138.8,2157.63,2134.92,2152.32,2144139
2018-07-23,2144.57,2165.83,2139.75,2151.34,1654921
2018-07-24,2168.74,2172.61,2151.34,2156.18,1844769
2018-07-25,2175.98,2175.98,2145.07,2149.42,1790941
2018-07-26,2166.8,2191.92,2156.18,2190.95,2097143
2018-07-27,2213.17,2219.94,2192.89,2207.38,2455207
2018-07-30,2199.65,2199.65,2177.43,2192.41,1698604
2018-07-31,2173.56,2199.65,2155.69,2189.5,3000532
2018-08-01,2191.92,2196.74,2184.68,2189.5,1683903
2018-08-02,2194.81,2199.17,2169.22,2173.09,2035448
2018-08-03,2191.92,2199.17,2184.19,2196.27,1839284
2018-08-06,2200.13,2213.65,2194.81,2207.38,1529251
2018-08-07,2213.65,2226.71,2203.52,2223.32,1477492
2018-08-08,2228.63,2246.99,2224.76,2234.9,1676969
2018-08-09,2244.56,2258.08,2214.14,2214.61,2452618
2018-08-10,2222.35,2228.63,2206.88,2211.72,1974477
2018-08-13,2207.87,2215.58,2189.5,2191.92,2016813
2018-08-14,2210.76,2231.04,2202.07,2230.55,2090829
2018-08-15,2260.52,2285.62,2256.16,2267.74,3264397
2018-08-16,2254.23,2267.74,2229.59,2254.23,3450001
2018-08-17,2268.23,2270.17,2248.91,2257.61,1957810
2018-08-20,2264.38,2277.41,2257.13,2272.59,1815371
2018-08-21,2272.59,2277.41,2257.13,2273.07,2166603
2018-08-22,2285.62,2286.59,2263.89,2279.83,2112050
2018-08-23,2290.45,2317.51,2289.49,2316.05,2173331
2018-08-24,2331.51,2362.91,2330.55,2362.91,2733357
2018-08-27,2366.77,2389.95,2360.49,2384.64,3453521
2018-08-28,2389.95,2397.19,2351.31,2354.22,6168037
2018-08-29,2337.66,2338.65,2289.03,2294.87,5036211
2018-08-30,2304.1,2345.94,2301.19,2344.48,3635019
2018-08-31,2325.03,2342.54,2322.6,2341.07,2201654
2018-09-03,2327.95,2346.92,2325.03,2344.0,1386698
2018-09-04,2335.24,2342.54,2328.92,2338.16,1409004
2018-09-05,2325.99,2333.29,2310.92,2311.88,1896867
2018-09-06,2304.59,2314.33,2286.59,2295.84,1434704
2018-09-07,2286.12,2345.46,2279.79,2342.54,2273609
2018-09-10,2334.76,2353.24,2326.97,2349.35,1566589
2018-09-11,2349.35,2382.42,2342.04,2381.45,2238350
2018-09-12,2380.48,2429.12,2375.13,2423.29,3335991
2018-09-13,2420.85,2491.86,2416.97,2480.19,3687033
2018-09-14,2499.65,2513.75,2458.3,2471.92,4032525
2018-09-18,2480.69,2579.9,2477.27,2576.02,3946178
2018-09-19,2597.41,2615.9,2577.96,2591.08,3125467
2018-09-20,2593.53,2595.47,2566.28,2579.41,2427286
2018-09-21,2580.87,2581.86,2548.29,2548.29,4780253
2018-09-25,2551.21,2592.54,2549.75,2592.54,3097919
2018-09-26,2593.03,2622.71,2585.25,2620.27,2491328
2018-09-27,2626.59,2665.51,2621.74,2622.71,3143353
2018-09-28,2636.32,2671.34,2634.38,2663.07,3513516
2018-10-01,2661.14,2665.51,2620.77,2630.49,2652202
2018-10-02,2620.27,2632.92,2602.29,2623.2,3094320
2018-10-03,2588.18,2622.71,2585.25,2606.18,2056198
2018-10-04,2617.36,2638.28,2595.47,2603.74,2877526
2018-10-05,2610.06,2639.25,2600.33,2618.81,2684581
2018-10-09,2577.96,2633.89,2571.15,2601.8,2723026
2018-10-10,2633.41,2642.17,2617.85,2624.16,2498729
2018-10-11,2577.96,2621.74,2566.28,2599.85,4644770
2018-10-12,2577.96,2593.53,2473.87,2487.01,5998676
2018-10-15,2502.56,2513.27,2475.81,2478.73,3085684
2018-10-16,2472.89,2492.35,2459.76,2490.4,2894282
2018-10-17,2521.53,2527.37,2505.48,2522.5,2000791
2018-10-18,2539.04,2565.81,2535.16,2541.96,2071205
2018-10-19,2519.59,2558.99,2515.71,2551.21,2481048
2018-10-22,2541.0,2583.79,2537.1,2577.96,1963273
2018-10-23,2567.26,2567.74,2494.3,2496.74,2780078
2018-10-24,2524.94,2547.31,2511.32,2539.04,2783263
2018-10-25,2506.94,2526.88,2472.41,2486.02,3218908
2018-10-26,2500.13,2516.19,2467.06,2480.19,2623110
2018-10-29,2475.33,2508.41,2444.68,2460.74,2076140
2018-10-30,2475.33,2494.78,2461.72,2483.11,2707095
2018-10-31,2484.57,2524.45,2448.56,2519.59,2702159
2018-11-01,2515.21,2540.5,2485.54,2494.3,2268881
2018-11-02,2501.09,2537.58,2493.32,2529.33,3018869
2018-11-05,2514.25,2520.56,2487.01,2493.32,2284196
2018-11-06,2505.48,2593.53,2503.05,2588.66,2861799
2018-11-07,2602.29,2612.49,2577.47,2591.08,3023185
2018-11-08,2626.59,2675.23,2625.63,2670.86,3471166
2018-11-09,2670.38,2716.1,2666.0,2675.23,2776582
2018-11-12,2668.44,2699.07,2658.71,2698.58,2181299
2018-11-13,2669.4,2670.86,2615.42,2649.46,3135952
2018-11-14,2649.46,2657.25,2601.3,2609.08,2783058
2018-11-15,2594.01,2605.2,2556.06,2604.72,2459769
2018-11-16,2591.57,2621.25,2564.82,2611.52,2641716
2018-11-19,2612.01,2635.36,2598.87,2606.66,2300334
2018-11-20,2575.52,2642.17,2569.2,2635.36,2153443
2018-11-21,2610.54,2630.49,2597.41,2604.23,2043554
2018-11-22,2605.69,2644.12,2603.26,2640.71,2080663
2018-11-26,2646.05,2651.89,2611.52,2640.71,2777198
2018-11-27,2649.94,2659.68,2615.9,2638.28,2190860
2018-11-28,2650.92,2652.87,2627.08,2633.41,2072030
2018-11-29,2653.83,2656.76,2621.25,2622.71,1966459
2018-11-30,2632.43,2651.89,2623.69,2647.03,3689192
2018-12-03,2657.72,2658.22,2613.96,2633.89,2809066
2018-12-04,2628.54,2630.98,2548.29,2548.29,3823750
2018-12-05,2519.59,2533.7,2497.7,2519.59,3091956
2018-12-06,2510.83,2547.31,2510.36,2536.11,3099973
2018-12-07,2542.93,2611.04,2540.01,2610.06,3136259
2018-12-10,2568.72,2590.12,2549.27,2569.7,2413616
2018-12-11,2594.49,2604.23,2561.42,2577.96,2569350
2018-12-12,2602.76,2638.28,2584.77,2620.77,3672744
2018-12-13,2634.38,2657.72,2620.77,2651.4,2682936
2018-12-14,2631.46,2646.05,2592.54,2596.92,4032834
2018-12-17,2595.47,2619.8,2543.91,2569.2,3908350
2018-12-18,2537.58,2547.31,2482.13,2488.46,4513912
2018-12-19,2480.69,2491.86,2392.64,2397.99,5451090
2018-12-20,2363.94,2373.19,2237.48,2243.31,14501941
2018-12-21,2179.11,2231.64,2176.18,2192.24,13054388
2018-12-25,2106.15,2112.47,2021.99,2029.29,7050264
2018-12-26,2062.37,2122.19,2033.18,2071.6,5883237
2018-12-27,2168.89,2181.05,2115.38,2159.16,5888994
2018-12-28,2154.79,2159.16,2083.77,2091.07,4500549
2019-01-04,2053.12,2134.85,2043.4,2122.19,6000116
2019-01-07,2165.0,2167.91,2098.37,2106.15,4346255
2019-01-08,2127.05,2148.95,2112.95,2126.57,3733085
2019-01-09,2140.19,2183.0,2125.11,2130.94,4256721
2019-01-10,2130.46,2158.67,2104.19,2137.28,4638191
2019-01-11,2106.15,2141.65,2037.07,2043.4,8436447
2019-01-15,2045.83,2085.23,2040.0,2079.88,3983183
2019-01-16,2105.17,2122.19,2075.5,2115.38,3299704
2019-01-17,2120.73,2124.13,2091.55,2095.93,2793749
2019-01-18,2096.42,2151.86,2093.99,2127.05,4006312
2019-01-21,2150.4,2152.36,2118.79,2129.49,2078196
2019-01-22,2140.19,2156.25,2134.85,2143.6,2011996
2019-01-23,2130.46,2141.16,2119.27,2131.44,2216661
2019-01-24,2119.27,2121.22,2083.77,2098.37,3141503
2019-01-25,2100.8,2122.68,2093.99,2111.0,2136173
2019-01-28,2111.5,2122.68,2098.86,2103.22,1524237
